# enable taxonomy_csv module then import this to industry_segments
# remove these two lines before importing
Accommodation
Accommodation,Boutique Hotel
Accommodation,Holiday apartments
Accommodation,Hospitality
Accommodation,Hostels
Accommodation,Hotel Chains
Accommodation,Hotel representatives
Accommodation,Resorts
Accommodation,Serviced apartment
Accommodation,Spa
Blogger
Blogger,Travel blogging
Blogger,Adventure travel blogging
Blogger,Family travel blogging
Blogger,Fashion Travel
Blogger,Food blogging
Blogger,Instagram / Photography
Blogger,Travel Tips / Information
Blogger,Vlogger
Blogger,Womens Travel
Blogger,Sustaintability
Business Travel
Business Travel,Business Travel Agencies
Business Travel,Conference & Meeting Venue
Business Travel,Destination Management Companies
Business Travel,Exhibition Centres
Business Travel,Fair organisers
Business Travel,Incentive Travel
Business Travel,Professional Conference Organisers
Business Travel,Travel Management Companies
Destination
Destination,Exhibition / Show
Destination,Art Gallery
Destination,Museum
Destination,National park
Destination,Theme park
Destination,Tourist attraction
Destination,Ecotourism
Information and advice
Information and advice,Education and further education
Information and advice,Information and advice
Information and advice,Investment Services
Information and advice,Press/ PR Agencies
Information and advice,Trade associations/organizations
Innovation and Investment
Innovation and Investment,Angel Investor
Innovation and Investment,Venture Capital
Innovation and Investment,Mergers and Acquisitions
Innovation and Investment,Professional Services
Innovation and Investment,Startup Accelerator
Innovation and Investment,Startup Lab
Innovation and Investment,Investment Advisory
Innovation and Investment,Innovation Advisory
Innovation and Investment,Entreprenuers in Residence
Technology Services
Technology Services,Consulting services
Technology Services,Content management solutions
Technology Services,CRM technologies
Technology Services,Distribution technologies
Technology Services,IT and Software
Technology Services,Online Payment Systems
Technology Services,Reservation and booking technologies
Technology Services,Telecommunication
Marketing
Marketing,Branding
Marketing,Affiliate Marketing
Marketing,Customer Relationship
Marketing,Market Research
Marketing,Advertisting Agency
Marketing,Digital Marketing
Means of transport/carriers
Means of transport/carriers,Airlines
Means of transport/carriers,Airport
Means of transport/carriers,Car rental companies
Means of transport/carriers,Charter operators/Aviation Service
Means of transport/carriers,Coach companies
Means of transport/carriers,Limousine services
Means of transport/carriers,Railway companies
Means of transport/carriers,River Cruises
Means of transport/carriers,Shipping/ferry lines
Means of transport/carriers,Yacht Charter
Media
Media,Editorial offices
Media,Journalists
Media,Media
Media,Publishers
Media,Trade magazines
Media,Travel photography
Media,TV/Radio-stations
Online Travel Industry
Online Travel Industry,Affiliate network
Online Travel Industry,Blog network
Online Travel Industry,Hotel booking engine
Online Travel Industry,Itinerary planning
Online Travel Industry,Last minute hotel booking
Online Travel Industry,Local tours
Online Travel Industry,Meta-search (Airfare)
Online Travel Industry,Meta-search (All travel)
Online Travel Industry,Meta-search (Hotel)
Online Travel Industry,Multi-modal travel search
Online Travel Industry,Online Travel Agent (OTA)
Online Travel Industry,Peer to Peer travel
Online Travel Industry,Review website
Online Travel Industry,Tour booking
Online Travel Industry,Travel Forum / Community
Online Travel Industry,Travel Insurance
Online Travel Industry,Vacation rental website
Professional Education and Research
Professional Education and Research,College / Institution
Professional Education and Research,Science and research
Professional Education and Research,Student
Professional Education and Research,University
Tour Operators/Travel Agencies
Tour Operators/Travel Agencies,Adventure Tours
Tour Operators/Travel Agencies,Cruises
Tour Operators/Travel Agencies,Cultural & Study Tours
Tour Operators/Travel Agencies,Family Trips
Tour Operators/Travel Agencies,Golf Holidays
Tour Operators/Travel Agencies,Incentive Holidays
Tour Operators/Travel Agencies,Incoming Agencies
Tour Operators/Travel Agencies,Journeys for children and teenagers
Tour Operators/Travel Agencies,Language Holidays
Tour Operators/Travel Agencies,Luxury Travel
Tour Operators/Travel Agencies,Safari Holidays
Tour Operators/Travel Agencies,Tour Operator
Tour Operators/Travel Agencies,Town sightseeing tours
Tour Operators/Travel Agencies,Travel Agencies
Tour Operators/Travel Agencies,Wellness Trips
Tour Operators/Travel Agencies,Winter Sports
Tour Operators/Travel Agencies,Young Travel 18-35
Tour Operators/Space Industry
Tourism Organization/Association
Tourism Organization/Association,Associations
Tourism Organization/Association,Organizations
Tourism Organization/Association,Tourism Boards
Tourism Organization/Association,Not For Profit
Travel Insiders
Travel Insiders,Pilot
Travel Insiders,Travel King
Travel Insiders,Travel Massive
