id,title,body,owner,avatar,banner,url,tw_link,fb_link,li_link,web_link,city,country
1,South Africa,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",2,southafrica_image.png,banner1.jpg,South Africa,,,,http://www.southafrica.net/country/us/en/,Cape Town,ZA
2,Traveling Spoon,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",3,traveling_spoon_image.png,,Traveling Spoon,,,,http://travelingspoon.com/,San Francisco,US
3,Findery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",4,findery_image.png,,Findery,,,,https://findery.com/,San Francisco,US
4,Travel Blog Success,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",5,tbs_image.png,,Travel Blog Success,,,,http://travelblogsuccess.com/,Worldwise,US
5,The Travel Geekery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",6,travelgeekery_image.png,,The Travel Geekery,,,,http://www.travelgeekery.com/,Prague,CZ
6,7KG,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",7,logo_net.jpg,,7KG,,,,http://www.pod7kilo.cz/,Prague,CZ
7,Vinizos,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",8,Logo-Vinizos-Slogan.png,,Vinizos,,,,http://www.vinizos.com,Worldwise,US
8,Waynaut,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",9,waynaut_image.png,,Waynaut,,,,http://waynaut.com/,Worldwise,US
9,Twispery,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",10,twisper_image.png,,Twispery,,,,http://www.twisper.com/,Berlin,DE
10,One Travel,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",11,onetravel_image.png,,One Travel,,,,http://www.onetravel.com/,Las Vegas,US
